,ep,group,class,rubric,text,edit,time,text_diff,task_text
0,1,group1,2,20,1116,14,00:21:21,816,309
1,1,group2,2,20,1671,19,00:25:31,1371,348
2,1,group3,3,10,784,29,00:34:36,484,521
3,1,group4,3,15,670,11,00:21:48,370,618
4,1,group5,3,14,748,14,00:23:24,448,237
5,1,group6,3,19,1327,26,00:29:03,1027,383
6,1,group7,1,25,518,24,00:33:54,218,128
7,1,group8,3,10,1223,18,00:29:01,923,445
8,1,group9,2,4,361,17,00:24:17,61,537
9,1,group10,2,10,1294,12,00:25:18,994,422
10,1,group11,3,17,704,14,00:35:21,404,563
11,1,group12,3,19,1501,12,00:23:30,1201,245
12,1,group13,3,13,907,31,00:34:44,607,658
13,1,group14,3,11,1752,62,00:38:23,1452,278
14,1,group15,1,25,767,15,00:09:00,467,167
15,1,group16,3,25,1410,51,00:25:42,1110,254
16,1,group17,2,20,797,20,00:28:19,497,150
17,2,group1,2,20,808,7,00:11:22,508,763
18,2,group2,3,10,1326,11,00:16:13,1026,309
19,2,group3,3,15,879,42,00:40:54,579,348
20,2,group4,3,14,3400,40,00:41:10,3100,521
21,2,group5,3,19,1019,8,00:17:02,719,618
22,2,group6,1,25,737,27,00:19:37,437,237
23,2,group7,3,10,447,19,00:19:49,147,383
24,2,group8,2,4,1116,24,00:41:52,816,128
25,2,group9,2,10,1671,29,00:21:21,1371,445
26,2,group10,3,17,784,14,00:25:31,484,537
27,2,group11,3,19,670,19,00:34:36,370,422
28,2,group12,3,13,748,29,00:21:48,448,563
29,2,group13,3,11,1327,11,00:23:24,1027,245
30,3,group1,1,25,518,14,00:29:03,218,658
31,3,group2,3,25,1223,26,00:33:54,923,278
32,3,group3,2,20,361,24,00:29:01,61,167
33,3,group4,2,20,1294,18,00:24:17,994,254
34,3,group5,3,10,704,17,00:25:18,404,150
35,3,group6,3,15,1501,12,00:35:21,1201,763
36,3,group7,3,14,907,14,00:23:30,607,309
37,3,group8,3,19,1752,12,00:34:44,1452,348
38,3,group9,1,25,767,31,00:38:23,467,521
39,3,group10,3,10,1410,62,00:09:00,1110,618
40,3,group11,2,4,797,15,00:25:42,497,237
41,3,group12,2,10,808,51,00:28:19,508,383
42,3,group13,3,17,1326,20,00:11:22,1026,128
43,3,group14,3,19,879,7,00:16:13,579,445
