,ep,group,value,item
0,3,Group1,3.0,class
1,3,Group2,1.0,class
2,3,Group3,2.0,class
3,3,Group4,1.0,class
4,3,Group5,2.0,class
5,3,Group6,3.0,class
6,3,Group7,4.0,class
7,3,Group9,3.0,class
8,3,Group10,2.0,class
9,3,Group11,4.0,class
10,3,Group12,2.0,class
11,3,Group13,4.0,class
12,3,Group14,4.0,class
13,3,Group15,4.0,class
14,3,Group16,1.0,class
15,3,Group17,4.0,class
16,3,Group18,4.0,class
17,3,Group19,1.0,class
18,3,Group20,1.0,class
19,3,Group21,3.0,class
20,3,Group22,1.0,class
21,3,Group23,1.0,class
22,3,Group24,2.0,class
23,3,Group25,4.0,class
24,3,Group26,4.0,class
25,3,Group27,2.0,class
26,3,Group28,3.0,class
27,3,Group1,19.0,rubric
28,3,Group2,21.0,rubric
29,3,Group3,23.0,rubric
30,3,Group4,25.0,rubric
31,3,Group5,25.0,rubric
32,3,Group6,19.0,rubric
33,3,Group7,7.0,rubric
34,3,Group9,17.0,rubric
35,3,Group10,15.0,rubric
36,3,Group11,15.0,rubric
37,3,Group12,23.0,rubric
38,3,Group13,15.0,rubric
39,3,Group14,15.0,rubric
40,3,Group15,9.0,rubric
41,3,Group16,21.0,rubric
42,3,Group17,13.0,rubric
43,3,Group18,9.0,rubric
44,3,Group19,15.0,rubric
45,3,Group20,21.0,rubric
46,3,Group21,21.0,rubric
47,3,Group22,25.0,rubric
48,3,Group23,17.0,rubric
49,3,Group24,23.0,rubric
50,3,Group25,13.0,rubric
51,3,Group26,13.0,rubric
52,3,Group27,25.0,rubric
53,3,Group28,15.0,rubric
54,3,Group1,454.0,text
55,3,Group2,1034.0,text
56,3,Group3,815.0,text
57,3,Group4,810.0,text
58,3,Group5,899.0,text
59,3,Group6,519.0,text
60,3,Group7,394.0,text
61,3,Group9,665.0,text
62,3,Group10,964.0,text
63,3,Group11,488.0,text
64,3,Group12,1068.0,text
65,3,Group13,648.0,text
66,3,Group14,678.0,text
67,3,Group15,517.0,text
68,3,Group16,825.0,text
69,3,Group17,348.0,text
70,3,Group18,283.0,text
71,3,Group19,746.0,text
72,3,Group20,1087.0,text
73,3,Group21,627.0,text
74,3,Group22,1132.0,text
75,3,Group23,902.0,text
76,3,Group24,631.0,text
77,3,Group25,456.0,text
78,3,Group26,413.0,text
79,3,Group27,949.0,text
80,3,Group28,574.0,text
81,3,Group1,9.0,edit
82,3,Group2,14.0,edit
83,3,Group3,6.0,edit
84,3,Group4,12.0,edit
85,3,Group5,8.0,edit
86,3,Group6,18.0,edit
87,3,Group7,7.0,edit
88,3,Group9,12.0,edit
89,3,Group10,12.0,edit
90,3,Group11,11.0,edit
91,3,Group12,12.0,edit
92,3,Group13,7.0,edit
93,3,Group14,12.0,edit
94,3,Group15,8.0,edit
95,3,Group16,16.0,edit
96,3,Group17,10.0,edit
97,3,Group18,12.0,edit
98,3,Group19,19.0,edit
99,3,Group20,27.0,edit
100,3,Group21,13.0,edit
101,3,Group22,19.0,edit
102,3,Group23,20.0,edit
103,3,Group24,8.0,edit
104,3,Group25,7.0,edit
105,3,Group26,9.0,edit
106,3,Group27,11.0,edit
107,3,Group28,18.0,edit
108,3,Group1,204.0,text_diff
109,3,Group2,950.0,text_diff
110,3,Group3,637.0,text_diff
111,3,Group4,473.0,text_diff
112,3,Group5,681.0,text_diff
113,3,Group6,336.0,text_diff
114,3,Group7,274.0,text_diff
115,3,Group9,416.0,text_diff
116,3,Group10,485.0,text_diff
117,3,Group11,404.0,text_diff
118,3,Group12,615.0,text_diff
119,3,Group13,350.0,text_diff
120,3,Group14,426.0,text_diff
121,3,Group15,326.0,text_diff
122,3,Group16,491.0,text_diff
123,3,Group17,218.0,text_diff
124,3,Group18,127.0,text_diff
125,3,Group19,623.0,text_diff
126,3,Group20,863.0,text_diff
127,3,Group21,389.0,text_diff
128,3,Group22,535.0,text_diff
129,3,Group23,745.0,text_diff
130,3,Group24,534.0,text_diff
